Comment,Designator,Footprint,LCSC,Quantity
TPS22965DSGR,"U8,U9",SON50P200X200X80-9N,C122837,2
TPS22918,U5,SOT-23-6,C131941,1
8K,R_PROG_2,RESC3115X65N,C1488,1
220uF,C10,CAPC2012X140N,C15008,1
0.1uF,"C16,C18,C20",CAPC2012X140N,C1525,3
10uF,"C21,C3,C5,C7",CAPC1005X55N,C15525,4
INA219AxD,U3,SOIC-8_3.9x4.9mm_P1.27mm,C1574856,1
1uF,C17,CAPC3216X180N,C1592,1
TYPE-C-31-M-12,J2,HRO_TYPE-C-31-M-12,C165948,1
0.01uF,"C1,C6",CAPC2012X140N,C1710,2
300,R7,RESC3115X65N,C17617,1
10k,R4,RESC3115X65N,C17902,1
10,"R10,R5,R9",RESC3115X65N,C17903,3
1uF,"C11,C12,C13,C14,C15,C8",CAPC3216X180N,C1848,6
22uF,C9,CAPC2012X140N,C1859,1
2.2uF,"C2,C4",CAPC1608X90N,C23630,2
74LVC1G04SE-7,IC1,74LVC1G04SE-7,C264081,1
74LVC2G66DP,S1,74LVC2G66DP,C282354,1
MBR230LS,D1,D_SOD-123F,C391533,1
2k,R_PROG_1,RESC3115X65N,C4109,1
2200,R8,RESC3115X65N,C4190,1
3.3k,"R1,R2",RESC3115X65N,C4211,2
1k,R3,RESC3115X65N,C4410,1
DRV8833PWR,"U1,U2",SOP65P640X120-16N,C50506,2
LM7805_TO220,U10,TO-220-3_Vertical,C7588528,1
SX1308,U7,SOT-23-6,C78162,1
MIC5504-1.2YM5,U6,SOT-23-5,C88419,1
22uH,L1,SMNR5040-220MT,C9391,1
CH224K,U4,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
JST PH 2.00mm connector,J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
2x16 (2.54mm pin pitch) pin header,am1,PinHeader_2x16_P2.54mm_Vertical,,1
TC4056A.,U11,SOIC127P600X175-9N,,1
0.22u,C19,CAPC2012X140N,,1
SS12D07VG5 087,SW1,SS-12D10G5_XKB,,1
